Angle(Degrees)	Distance(m)
0				2.5
4				2.0
8				2.0
12				2.0
16				2.0
20				2.0
24				2.0
28				2.0
32				2.0
36				2.0
40				2.0
44				2.0
48				2.5
52				2.5
56				2.5
60				2.0
64				2.0
68				2.0
72				2.0
76				2.0
80				2.5
84				2.5
88				2.5
92				2.5
96				0.5
100				0.5
104				0.5
108				0.5
112				0.5
116				0.5
120				0.5
124				0.5
128				0.5
132				0.5
136				2.5
140				2.5
144				2.5
148				2.5
152				2.5
156				1.5
160				1.5
164				1.5
168				1.5
172				1.5
176				1.5
180				2.5
